Cruise,Station,Date,Year,Month,Day,Time,lon,lat,Bot_Depth,Depth,Temp,Sal,Chl,NO3,PO4,Pro,Syn,Peuk,HB,DOY,ID,Chl0,T0,I0sat
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,0,28.81,33.42,0.087,0.075166,0.08,149291,3823,582,166273,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,25,28.6,33.4,0.098,0.079904,0.08,153495,3659,745,185378,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,40,28.35,33.44,0.096,,,140043,2812,405,216516,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,50,25.36,33.88,0.257,0.117808,0.12,168670,5777,1627,204894,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,60,24.63,34.03,0.3,,,171744,4432,1011,253981,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,65,23.79,34.12,0.31,,,168915,4874,1501,255294,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,70,23.09,34.19,0.481,0.141498,0.17,126396,3860,3792,260331,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,80,21.87,34.26,0.608,,,114278,3135,4194,316063,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,85,21.2,34.31,NA,,,72607,1181,3666,248050,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,100,19.65,34.45,0.103,10.9640376,0.81,10086,10,191,137978,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,125,18.04,34.53,0.161,12.0594632,0.88,7308,17,112,122503,224,1,0.087,28.81,56.50590134
Summer,LE09,2009/8/12,2009,8,12,22,118,18,3885,150,16.71,34.56,0.014,14.4066684,1.05,1096,10,24,113619,224,1,0.087,28.81,56.50590134
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,0,29.68,33.63,0.117,0.1099084,0.08,134160,3241,439,254673,214,2,0.117,29.68,28.89665985
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,25,29.69,33.63,0.113,0.1127512,0.08,136414,3121,534,273051,214,2,0.117,29.68,28.89665985
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,50,26.74,33.96,0.304,0.1032752,0.06,120296,2904,422,419610,214,2,0.117,29.68,28.89665985
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,75,22.59,34.32,0.228,4.5522572,0.39,49517,242,2825,241339,214,2,0.117,29.68,28.89665985
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,100,20.16,34.48,0.095,10.0303328,0.71,33512,85,854,141286,214,2,0.117,29.68,28.89665985
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,125,18.71,34.55,0.059,11.1731384,0.81,5977,24,180,138304,214,2,0.117,29.68,28.89665985
Summer,A0,2009/8/2,2009,8,2,11,116.01,19.9,1491,150,17.53,34.57,0.017,13.1033996,0.94,762,10,34,118871,214,2,0.117,29.68,28.89665985
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,0,29.28,33.53,0.076,0.1118036,0.08,112072,4575,449,306408,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,25,28.96,33.58,0.202,0.106118,0.08,150006,6849,878,324481,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,50,24.04,34.07,0.32,2.73097,0.25,101377,4439,4582,364115,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,55,23.35,34.13,0.683,,,62931,1988,4492,267491,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,75,20.99,34.36,0.229,7.814844,0.57,26146,140,1069,175231,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,100,18.77,34.5,0.092,11.794764,0.83,13126,31,398,152549,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,125,17.59,34.55,0.096,12.9764212,0.92,7353,770,551,140727,215,3,0.076,29.28,53.48300171
Summer,A1,2009/8/3,2009,8,3,5.75,115.73,20.19,743,150,16.47,34.57,0.024,13.7411344,0.99,414,64,39,96640,215,3,0.076,29.28,53.48300171
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,0,29.78,33.37,0.117,0.1326508,0.09,128901,3118,572,272183,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,25,29.72,33.37,0.1,0.1279128,0.09,154659,2665,660,303362,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,50,25.04,33.9,0.364,0.2207776,0.17,172537,5235,2291,416230,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,60,24,33.99,0.571,1.5862692,0.28,87601,2070,5188,391203,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,75,22.64,34.14,0.427,7.8442196,0.63,44578,82,1671,189245,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,100,19.73,34.39,0.07,12.3529004,0.92,10954,31,262,135600,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,125,17.77,34.53,0.028,13.6245796,1.02,2213,14,106,117672,213,4,0.117,29.78,24.86133003
Summer,A10,2009/8/1,2009,8,1,11.27,116.67,19.27,2848,150,16.49,34.56,0.005,14.329594,1.09,133,14,14,113608,213,4,0.117,29.78,24.86133003
Summer,A8,2009/8/6,2009,8,6,18.58,114.2,21.8,45,0,27.97,33.55,0.71,0.1402316,0.08,67511,126141,1675,449852,218,5,0.71,27.97,37.62174988
Summer,A8,2009/8/6,2009,8,6,18.58,114.2,21.8,45,25,24.36,34.18,1.56,2.1747288,0.22,68525,30319,3918,662321,218,5,0.71,27.97,37.62174988
Summer,A8,2009/8/6,2009,8,6,18.58,114.2,21.8,45,40,22.4,34.3,0.927,3.0588396,0.3,25281,10607,3006,753788,218,5,0.71,27.97,37.62174988
Summer,A9,2009/8/6,2009,8,6,16.07,114,22,33,0,28.55,31.53,1.707,1.4014872,0.08,0,34646,317,1156310,218,6,1.707,28.55,46.84291077
Summer,A9,2009/8/6,2009,8,6,16.07,114,22,33,15,28.02,32.14,1.198,1.319046,0.08,21629,37614,589,872462,218,6,1.707,28.55,46.84291077
Summer,A9,2009/8/6,2009,8,6,16.07,114,22,33,30,26.3,33.73,0.429,2.2268468,0.138,35136,21231,504,580743,218,6,1.707,28.55,46.84291077
Summer,A7,2009/8/6,2009,8,6,20.68,114.5,21.5,72,0,28.62,33.63,0.251,0.1326508,0.08,185285,18562,742,382114,218,7,0.251,28.62,55.06560135
Summer,A7,2009/8/6,2009,8,6,20.68,114.5,21.5,72,25,27.34,33.84,0.683,0.1610788,0.08,195211,40681,1385,366639,218,7,0.251,28.62,55.06560135
Summer,A7,2009/8/6,2009,8,6,20.68,114.5,21.5,72,50,23.11,34.25,0.7,1.281142,0.169,51897,29911,2437,548631,218,7,0.251,28.62,55.06560135
Summer,A7,2009/8/6,2009,8,6,20.68,114.5,21.5,72,68,21.63,34.35,0.327,5.8788972,0.478,17979,1654,2502,446660,218,7,0.251,28.62,55.06560135
Summer,A6,2009/8/7,2009,8,7,1.3,114.73,21.27,88,0,28.82,33.57,0.181,0.1354936,0.08,144917,7730,402,359458,219,8,0.181,28.82,55.06560135
Summer,A6,2009/8/7,2009,8,7,1.3,114.73,21.27,88,25,28.7,33.64,0.182,0.1373888,0.08,151844,6464,330,312006,219,8,0.181,28.82,55.06560135
Summer,A6,2009/8/7,2009,8,7,1.3,114.73,21.27,88,50,26.33,33.91,0.442,0.8063944,0.1,139072,15355,2070,488160,219,8,0.181,28.82,55.06560135
Summer,A6,2009/8/7,2009,8,7,1.3,114.73,21.27,88,75,21.96,34.31,0.24,5.2771712,0.43,14075,1334,1773,448098,219,8,0.181,28.82,55.06560135
Summer,A6,2009/8/7,2009,8,7,1.3,114.73,21.27,88,85,21.91,34.31,0.305,5.2970708,0.44,10889,977,1413,411169,219,8,0.181,28.82,55.06560135
Summer,A5,2009/8/7,2009,8,7,5.6,114.98,21,102,0,28.25,33.52,0.178,0.1430744,0.08,171757,10978,1307,332711,219,9,0.178,28.25,55.06560135
Summer,A5,2009/8/7,2009,8,7,5.6,114.98,21,102,25,28.24,33.59,0.257,0.1269652,0.08,170760,9902,1239,306053,219,9,0.178,28.25,55.06560135
Summer,A5,2009/8/7,2009,8,7,5.6,114.98,21,102,50,26.52,33.8,0.517,0.295638,0.08,86406,6924,4350,402693,219,9,0.178,28.25,55.06560135
Summer,A5,2009/8/7,2009,8,7,5.6,114.98,21,102,75,23.52,34.13,0.308,4.16,0.32,28954,888,1739,365457,219,9,0.178,28.25,55.06560135
Summer,A5,2009/8/7,2009,8,7,5.6,114.98,21,102,95,19.87,34.44,0.311,8.6,0.63,13646,191,603,275767,219,9,0.178,28.25,55.06560135
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,0,29.8,33.6,0.055,0.13,0.09,164071,3118,572,224697,213,10,0.055,29.8,7.861629963
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,25,28.94,33.71,0.202,0.13,0.11,190377,2832,1079,305813,213,10,0.055,29.8,7.861629963
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,50,24.44,34.06,0.187,0.42,0.17,185560,5269,2233,333965,213,10,0.055,29.8,7.861629963
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,75,21.82,34.32,0.409,6.16,0.53,55131,126,2311,249234,213,10,0.055,29.8,7.861629963
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,100,20.06,34.47,0.153,9.35,0.73,21033,27,528,155762,213,10,0.055,29.8,7.861629963
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,125,18.43,34.52,0.044,14.57,1.08,4214,14,106,131788,213,10,0.055,29.8,7.861629963
Summer,A11,2009/8/1,2009,8,1,5.05,117.33,18.63,3823,150,16.63,34.55,0.012,15.69,1.17,116,24,10,123891,213,10,0.055,29.8,7.861629963
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,0,29.33,33.5,0.106,0.1,0.08,135910,4034,556,207007,215,11,0.106,29.33,55.06560135
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,25,29.13,33.53,0.139,0.1,0.08,142917,4742,618,249035,215,11,0.106,29.33,55.06560135
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,50,25.82,33.92,0.538,0.24,0.08,111705,16369,6563,399258,215,11,0.106,29.33,55.06560135
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,60,24.19,34.09,0.554,,,47897,2130,3095,310401,215,11,0.106,29.33,55.06560135
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,75,22.51,34.24,0.218,4.94,0.389,27736,752,1676,226681,215,11,0.106,29.33,55.06560135
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,100,20.52,34.43,0.132,8.8,0.638,16301,132,672,162709,215,11,0.106,29.33,55.06560135
Summer,A4,2009/8/3,2009,8,3,12.5,115.24,20.75,157,125,17.28,34.58,NA,11.21,0.826,1951,100,110,159162,215,11,0.106,29.33,55.06560135
Summer,A2,2009/8/3,2009,8,3,9.3,115.49,20.49,392,0,29.34,33.47,0.142,,NA,144706,5746,705,267236,215,12,0.142,29.34,55.06560135
