Name,Latitude,Longitude,Bot_Depth,Chl_su,PAR_su,SST_su,Chl_au,PAR_au,SST_au,Chl_win,PAR_win,SST_win,Chl_sp,PAR_sp,SST_sp
St1,11.958333,110.041664,-1793,0.214780003,46.77510834,29.02111816,0.155139998,35.4529686,27.47773743,0.159229994,37.76448822,26.22553253,0.119099997,48.5489502,29.16168785
St2,11.958333,110.208336,-2193,0.214980006,46.65739822,28.90780449,0.141139999,35.40671158,27.54515266,0.128079996,37.74057007,26.45072746,0.112350002,48.65682983,29.16670799
St3,11.958333,110.375,-2492,0.216389999,46.42900848,28.8511467,0.139620006,35.3098793,27.84780502,0.13064,37.91790009,26.47798157,0.103030004,48.60889053,29.16097069
St4,11.958333,110.625,-2592,0.198630005,45.83855057,28.84469223,0.122780003,35.35263062,27.86429977,0.129280001,38.74695969,26.60922623,0.105889998,48.09307098,29.17101097
St5,11.958333,110.791664,-2442,0.194069996,45.83475876,28.67113304,0.146699995,35.48508072,28.06941414,0.131300002,38.92031097,26.62930679,0.099490002,48.14743042,29.16814232
St6,11.958333,111.041664,-2619,0.209040001,45.3768692,28.79377174,0.132650003,35.64994049,27.99984741,0.122769997,39.064991,26.66301537,0.098350003,48.20586014,29.16240501
St7,11.958333,111.208336,-2542,0.218199998,44.39326859,28.75934601,0.140080005,35.22909927,28.09164619,0.119709998,39.00479126,26.76198578,0.09008,47.90343857,29.13013077
St8,11.958333,111.375,-3006,0.199129999,43.81663132,28.77010345,0.144229993,35.72103119,28.05722237,0.118809998,39.19478989,26.80932045,0.091349997,48.03556824,29.16885948
St9,11.958333,111.625,-3066,0.199220002,43.28760147,28.80883217,0.137759998,36.09524155,28.20352745,0.118409999,39.33543015,26.90757561,0.098990001,48.2404213,29.19539452
St10,11.958333,111.791664,-3996,0.197469994,42.89794159,28.79735756,0.163340002,35.89448929,28.2006588,0.112949997,39.47613907,26.92980766,0.102289997,48.09788132,29.18894005
St11,11.958333,112.041664,-4193,0.195329994,42.93981934,28.81241798,0.149499997,35.96800995,28.25875092,0.110129997,39.43598938,27.03595161,0.095009997,47.34022141,29.18248558
St12,11.958333,112.208336,-4211,0.187539995,42.39947128,28.90565109,0.150150001,36.13624954,28.29532814,0.11372,39.03366089,27.03595161,0.091349997,47.41044998,29.28576088
St13,11.958333,112.375,-4118,0.168180004,42.08034134,28.89417648,0.119350001,36.29521942,28.4323101,0.115529999,39.25696182,27.05388069,0.088950001,47.44786835,29.3008213
St14,11.958333,112.625,-4227,0.16708,41.93529892,28.95083427,0.115999997,36.18529892,28.43804741,0.121849999,38.82189178,27.06320381,0.087980002,47.12736893,29.31731606
St15,11.958333,112.791664,-4223,0.1611,41.86021042,29.01896667,0.11603,35.7996788,28.44737053,0.120300002,39.16989899,27.17293358,0.084250003,47.14638138,29.42202568
St16,11.958333,113.041664,-4229,0.157230005,41.89439011,29.08709908,0.118830003,36.09915924,28.44091606,0.116010003,39.50014114,27.18010521,0.079130001,47.20676041,29.36751938
St17,11.958333,113.208336,-4229,0.150629997,41.79003143,29.10503006,0.113789998,35.82086182,28.4323101,0.117009997,39.51015854,27.20448875,0.078340001,47.15052032,29.45788383
St18,11.958333,113.375,-4248,0.145060003,41.00951004,29.22408295,0.120109998,35.77996063,28.45095634,0.109750003,39.28057861,27.21739769,0.078560002,47.03139877,29.46075249
St19,11.958333,113.625,-4245,0.135690004,40.88565826,29.24129486,0.118160002,35.73616028,28.32258034,0.107309997,39.38777924,27.21381187,0.079230003,47.22465897,29.51956177
St20,11.958333,113.791664,-4235,0.149079993,40.58916092,29.15164566,0.121119998,36.09442902,28.43589592,0.107409999,39.75587845,27.24536896,0.078500003,47.40478897,29.53820992
St21,11.958333,114.041664,-4230,0.14892,40.4625206,29.04550362,0.11332,36.48368073,28.5355854,0.111220002,39.47837067,27.24393463,0.08162,47.54236984,29.54251289
St22,11.958333,114.208336,-4216,0.148220003,40.29602051,29.08781624,0.121540003,36.31975937,28.53917122,0.115400001,39.80397034,27.29270363,0.079049997,47.63977051,29.4643383
