time,Chl,sst,par
4-Jul-02,0.077,29.88174057,25.025
12-Jul-02,0.081,28.62666702,30.52
20-Jul-02,0.1,29.19109154,46.462
28-Jul-02,0.098,29.8207798,49.563
5-Aug-02,0.085,45.00071716,52.787
13-Aug-02,0.067,29.1373024,47.595
21-Aug-02,0.082,29.66156578,53.749
29-Aug-02,0.088,30.49708557,53.272
6-Sep-02,0.075,30.20805931,37.705
14-Sep-02,0.103,28.37493515,33.678
22-Sep-02,0.086,29.72898102,37.47
30-Sep-02,0.084,29.12080765,45.795
8-Oct-02,0.097,28.02351379,32.86
16-Oct-02,0.089,28.49972534,46.669
24-Oct-02,0.078,28.45741081,42.121
1-Nov-02,,,19.374
9-Nov-02,0.116,28.05005074,36.166
17-Nov-02,0.144,26.19899559,31.421
25-Nov-02,0.132,26.43566704,34.11
3-Dec-02,0.104,26.87888718,34.229
11-Dec-02,0.136,25.75577545,32.813
19-Dec-02,0.125,25.72995758,26.424
27-Dec-02,0.239,45.00071716,19.182
1-Jan-03,0.193,24.43758965,26.097
9-Jan-03,0.224,23.6673336,31.663
17-Jan-03,0.295,23.72255707,38.491
25-Jan-03,0.224,23.92551994,39.73
2-Feb-03,0.171,24.47129822,35.304
10-Feb-03,0.125,24.51074219,40.89
18-Feb-03,0.098,25.08377266,45.915
26-Feb-03,0.09,25.57145882,47.447
6-Mar-03,0.122,25.02209473,42.342
14-Mar-03,0.078,26.21979523,51.013
22-Mar-03,0.08,26.27573395,45.309
30-Mar-03,0.09,27.17867088,50.501
7-Apr-03,0.065,27.44546318,53.993
15-Apr-03,0.066,28.49183655,55.397
23-Apr-03,0.074,29.84659958,54.461
1-May-03,0.077,28.8841362,48.433
9-May-03,0.072,30.01728821,56.436
17-May-03,0.061,30.12630081,47.97
25-May-03,0.063,45.00071716,41.54
2-Jun-03,0.037,29.22480011,31.455
10-Jun-03,0.077,28.55494881,53.271
18-Jun-03,0.094,31.53772163,48.866
26-Jun-03,0.09,30.49708557,54.67
4-Jul-03,0.076,31.44161797,44.885
12-Jul-03,0.087,30.86930466,55.947
20-Jul-03,0.126,27.47271729,38.293
28-Jul-03,0.112,28.83321571,52.896
5-Aug-03,,45.00071716,30.566
13-Aug-03,0.111,28.14471817,34.781
21-Aug-03,0.171,28.47605896,38.484
29-Aug-03,,28.52841187,35.399
6-Sep-03,0.092,28.65894127,46.48
14-Sep-03,0.087,27.49136353,45.623
22-Sep-03,0.097,29.44138908,36.9
30-Sep-03,,28.95155144,38.092
8-Oct-03,0.105,29.58410835,41.625
16-Oct-03,0.089,27.50498962,36.422
24-Oct-03,0.085,27.4060173,41.118
1-Nov-03,0.103,27.17078209,41.349
9-Nov-03,0.086,27.31565285,28.955
17-Nov-03,0.137,26.89466476,34.887
25-Nov-03,0.153,26.40482712,30.945
3-Dec-03,0.169,25.50260925,30.998
11-Dec-03,,45.00071716,18.448
19-Dec-03,0.424,23.44643974,29.769
27-Dec-03,0.35,23.33742714,29.799
1-Jan-04,0.395,23.43855095,33.759
9-Jan-04,0.26,23.81292152,31.177
17-Jan-04,0.371,23.45934868,33.177
25-Jan-04,0.259,23.47441101,35.688
2-Feb-04,0.211,24.08473396,31.14
10-Feb-04,0.123,24.30491066,42.857
18-Feb-04,0.122,24.73880768,40.099
26-Feb-04,0.127,24.77610016,42.852
5-Mar-04,0.135,24.30777931,43.562
13-Mar-04,0.119,24.35224533,46.97
21-Mar-04,,25.96590996,48.806
29-Mar-04,,26.41415215,49.521
6-Apr-04,0.111,26.78780556,53.067
14-Apr-04,0.085,27.97689819,55.044
22-Apr-04,0.101,28.69479942,55.531
30-Apr-04,0.08,29.20758629,56.497
8-May-04,0.079,29.77703094,54.258
16-May-04,0.07,30.49636841,46.714
24-May-04,0.091,30.5042572,51.814
1-Jun-04,0.099,29.0964241,49.94
9-Jun-04,0.083,29.29293251,50.053
17-Jun-04,0.082,29.99290466,50.429
25-Jun-04,0.087,31.03640938,44.795
3-Jul-04,0.067,28.57933235,51.988
11-Jul-04,0.096,29.98573303,49.845
19-Jul-04,0.083,28.97521973,40.625
27-Jul-04,0.087,29.79567909,40.848
4-Aug-04,0.064,30.00079346,37.301
12-Aug-04,0.12,29.20830345,44.106
20-Aug-04,0.097,29.08423042,29.652
28-Aug-04,0.113,28.97880554,41.176
5-Sep-04,,45.00071716,28.517
13-Sep-04,0.072,29.19611168,37.637
21-Sep-04,0.085,28.9737854,47.673
29-Sep-04,,28.19420433,42.768
7-Oct-04,0.088,28.85258102,41.303
15-Oct-04,,27.13133621,41.641
23-Oct-04,0.103,26.7440567,39.517
31-Oct-04,0.109,26.58770943,40.708
8-Nov-04,0.104,26.51168823,40.736
16-Nov-04,,45.00071716,24.464
24-Nov-04,0.157,25.61090469,26.221
2-Dec-04,0.254,24.48851013,31.204
10-Dec-04,0.238,23.31232643,30.193
18-Dec-04,0.209,23.66087914,33.312
26-Dec-04,0.176,23.34316444,26.861
1-Jan-05,0.221,23.23271942,28.261
9-Jan-05,0.245,22.18993187,25.983
17-Jan-05,0.213,23.02832031,34.535
25-Jan-05,0.128,24.81913185,40.87
2-Feb-05,0.111,24.93101311,43.418
10-Feb-05,0.106,25.1045723,40.743
18-Feb-05,0.112,24.69290733,39.153
26-Feb-05,0.093,24.54014778,43.356
6-Mar-05,0.241,24.58963203,42.858
14-Mar-05,0.17,23.72829437,45.897
22-Mar-05,0.149,25.4373455,45.516
30-Mar-05,0.098,26.15166092,52.18
7-Apr-05,0.112,26.81936073,53.657
15-Apr-05,0.07,26.22051239,54.47
23-Apr-05,0.074,28.4889679,55.877
1-May-05,0.077,29.18750572,55.212
9-May-05,0.083,29.05912971,51.613
17-May-05,0.073,29.85663986,56.921
25-May-05,0.074,45.00071716,37.625
2-Jun-05,0.073,29.7798996,49.166
10-Jun-05,,45.00071716,31.143
18-Jun-05,0.077,29.41700554,54.566
26-Jun-05,0.085,29.76483917,37.446
4-Jul-05,0.071,29.63502884,49.953
12-Jul-05,0.061,32.0720253,51.873
20-Jul-05,0.066,31.06653023,53.537
28-Jul-05,,29.65941429,36.391
5-Aug-05,0.066,45.00071716,44.1
13-Aug-05,,45.00071716,25.587
21-Aug-05,0.089,29.22121429,51.714
29-Aug-05,0.077,30.53007507,51.093
6-Sep-05,0.064,29.43421745,44.035
14-Sep-05,0.088,28.94796562,44.792
22-Sep-05,0.11,29.05697823,22.983
30-Sep-05,0.087,28.39286423,44.879
8-Oct-05,0.089,27.74237823,22.943
16-Oct-05,0.083,27.17723656,39.898
24-Oct-05,0.091,27.5989418,32.135
1-Nov-05,0.098,27.54084969,37.613
9-Nov-05,0.078,26.94558525,37.975
17-Nov-05,,45.00071716,24.568
25-Nov-05,0.129,26.66014671,29.842
3-Dec-05,0.142,25.40291977,26.982
11-Dec-05,,45.00071716,11.685
19-Dec-05,0.238,23.82726479,23.527
27-Dec-05,0.286,45.00071716,18.24
1-Jan-06,0.363,23.56477547,32.303
9-Jan-06,0.665,23.49234009,35.421
17-Jan-06,0.231,25.26808929,33.268
25-Jan-06,0.307,24.14282608,28.564
2-Feb-06,0.205,23.90615463,37.066
10-Feb-06,0.152,24.60039139,42.218
18-Feb-06,0.142,23.45145988,35.625
26-Feb-06,,24.07182503,41.468
6-Mar-06,0.107,25.30179787,49.121
14-Mar-06,0.097,25.29247475,47.351
22-Mar-06,0.067,27.20090294,51.539
30-Mar-06,0.085,29.04120064,52.788
7-Apr-06,0.08,28.10742569,52.196
15-Apr-06,0.085,28.01347351,51.949
23-Apr-06,0.077,28.57718086,54.958
1-May-06,0.071,29.94556999,56.146
9-May-06,0.087,30.33930397,41.131
17-May-06,0.393,27.04240608,51.778
25-May-06,0.133,28.87624741,52.414
2-Jun-06,0.101,29.0555439,56.54
10-Jun-06,0.101,29.32520485,51.984
18-Jun-06,0.099,31.14542007,53.393
26-Jun-06,0.097,29.21619225,45.583
4-Jul-06,,29.06343269,53.051
12-Jul-06,,45.00071716,43.022
20-Jul-06,0.081,29.33739662,41.555
28-Jul-06,,45.00071716,26.287
5-Aug-06,0.123,28.41868401,54.454
13-Aug-06,0.116,28.89561081,44.413
21-Aug-06,0.099,28.54203987,48.259
29-Aug-06,0.099,29.37899399,53.119
6-Sep-06,0.087,30.18941307,39.98
14-Sep-06,0.116,29.41915703,41.781
22-Sep-06,,45.00071716,35.28
30-Sep-06,0.078,28.57718086,41.072
8-Oct-06,0.118,28.01705933,45.582
16-Oct-06,0.099,27.89226913,42.631
24-Oct-06,0.129,27.56021309,35.176
1-Nov-06,0.32,26.49949646,25.701
9-Nov-06,0.135,26.98789978,32.537
17-Nov-06,0.113,27.89370346,39.434
25-Nov-06,0.112,28.50617981,37.034
3-Dec-06,0.145,25.6847744,30.471
11-Dec-06,0.144,45.00071716,16.229
19-Dec-06,0.353,25.44164848,28.72
27-Dec-06,0.219,24.90089035,18.64
1-Jan-07,0.282,24.45049858,23.733
9-Jan-07,0.276,24.01229858,27.131
17-Jan-07,0.241,24.14139175,29.603
25-Jan-07,0.298,23.73259735,34.212
2-Feb-07,0.314,24.12131119,37.074
10-Feb-07,0.152,24.46340752,43.933
18-Feb-07,0.131,24.58604622,46.046
26-Feb-07,0.108,25.59799576,47.6
6-Mar-07,0.052,25.17198753,46.614
14-Mar-07,0.103,26.1559639,47.318
22-Mar-07,0.094,26.33884621,50.544
30-Mar-07,0.113,27.28050995,51.013
7-Apr-07,0.036,27.14926529,50.212
15-Apr-07,0.096,27.24752045,51.6
23-Apr-07,0.088,28.1189003,55.015
1-May-07,0.099,27.77393341,42.979
9-May-07,0.062,29.4449749,44.228
17-May-07,0.074,29.4119854,50.474
25-May-07,0.072,29.58339119,54.585
2-Jun-07,0.077,30.43684196,55.811
10-Jun-07,0.072,30.3622551,51.693
18-Jun-07,0.073,29.21977997,50.616
26-Jun-07,,29.35245895,27.571
4-Jul-07,0.079,29.13084793,46.994
12-Jul-07,0.081,29.88245773,51.352
20-Jul-07,0.088,31.31539345,55.742
28-Jul-07,0.071,30.72801971,44.128
5-Aug-07,,45.00071716,36.152
13-Aug-07,,45.00071716,38.253
21-Aug-07,0.104,28.89202499,46.457
29-Aug-07,0.089,29.68523216,46.818
6-Sep-07,0.086,31.17984581,33.406
14-Sep-07,0.058,30.26902008,46.735
22-Sep-07,0.1,30.55230904,29.97
30-Sep-07,0.097,29.63933182,42.604
8-Oct-07,0.105,28.843256,34.379
16-Oct-07,,27.85497665,38.343
24-Oct-07,0.069,27.34433937,31.72
1-Nov-07,,45.00071716,22.923
9-Nov-07,,45.00071716,27.37
17-Nov-07,0.18,25.92216301,32.793
25-Nov-07,,24.5573597,24.633
3-Dec-07,,24.43328667,30.548
11-Dec-07,0.255,24.7072506,30.057
19-Dec-07,0.223,25.3089695,35.22
27-Dec-07,,24.23534393,26.471
1-Jan-08,0.402,23.94201469,24.247
9-Jan-08,0.269,24.78685951,29.106
17-Jan-08,0.229,23.46508598,27.562
25-Jan-08,0.164,24.4813385,35.861
2-Feb-08,0.11,25.88702011,30.373
10-Feb-08,0.161,22.87627792,25.233
18-Feb-08,0.271,23.16530418,34.045
26-Feb-08,0.131,23.24132538,30.355
5-Mar-08,,22.73499298,33.685
13-Mar-08,0.223,23.69960594,47.443
21-Mar-08,0.11,24.40674973,51.006
29-Mar-08,0.118,25.59727859,52.973
6-Apr-08,0.112,27.71082115,55.146
14-Apr-08,0.084,28.09666824,37.231
22-Apr-08,0.086,28.17986107,50.52
30-Apr-08,0.087,28.94724846,52.919
8-May-08,0.097,29.56904793,45.741
16-May-08,0.079,28.28600502,48.785
24-May-08,0.089,28.23365021,56.131
1-Jun-08,0.077,29.71463585,45.362
9-Jun-08,0.071,29.54609871,50.819
17-Jun-08,0.082,29.63789749,48.87
25-Jun-08,0.088,29.3144474,49.294
3-Jul-08,0.074,29.4994812,34.987
11-Jul-08,0.08,29.01179504,42.605
19-Jul-08,0.097,30.12199783,54.236
27-Jul-08,0.103,45.00071716,35.884
4-Aug-08,,28.69264793,17.276
12-Aug-08,0.093,28.49255371,55.16
20-Aug-08,0.133,29.94772148,39.44
28-Aug-08,0.096,31.5907917,45.017
5-Sep-08,0.066,30.41245842,51.725
13-Sep-08,0.086,45.00071716,40.68
21-Sep-08,,28.80668068,39.854
29-Sep-08,0.105,28.90421677,38.264
7-Oct-08,0.098,30.17148399,39.34
